Projekt Aerodynamik Übung CPM3
P_amb in [Pa]:  102415 T_amb in [K]: 297
Channel 1-3 HCL Druckdaten [V] 
3,235	3,254	3,247
3,228	3,266	3,249
3,232	3,260	3,247
3,232	3,265	3,247
3,234	3,267	3,250
3,235	3,264	3,245
3,237	3,262	3,249
3,236	3,262	3,252
3,229	3,264	3,248
3,230	3,264	3,247
3,230	3,265	3,247
3,232	3,266	3,243
3,232	3,265	3,244
3,230	3,257	3,242
3,230	3,258	3,247
3,232	3,262	3,242
3,232	3,267	3,245
3,230	3,268	3,243
3,229	3,264	3,245
3,235	3,265	3,242
3,232	3,266	3,245
3,229	3,267	3,248
3,232	3,260	3,247
3,232	3,265	3,244
3,231	3,263	3,243
3,229	3,266	3,249
3,232	3,262	3,249
3,232	3,259	3,247
3,233	3,259	3,238
3,232	3,260	3,247
3,229	3,264	3,247
3,237	3,265	3,247
3,238	3,267	3,249
3,226	3,259	3,247
3,229	3,264	3,247
3,235	3,260	3,243
3,229	3,268	3,242
3,232	3,269	3,248
3,232	3,257	3,250
3,232	3,262	3,245
3,230	3,265	3,240
3,235	3,262	3,247
3,231	3,259	3,249
3,235	3,262	3,248
3,232	3,261	3,248
3,232	3,267	3,245
3,230	3,259	3,247
3,231	3,260	3,250
3,231	3,264	3,248
3,232	3,269	3,250
3,225	3,266	3,245
3,222	3,264	3,247
3,231	3,260	3,242
3,234	3,259	3,247
3,230	3,261	3,250
3,235	3,263	3,248
3,232	3,264	3,248
3,231	3,264	3,248
3,237	3,267	3,245
3,230	3,267	3,247
3,232	3,263	3,253
3,226	3,261	3,245
3,224	3,266	3,244
3,230	3,260	3,247
3,232	3,262	3,247
3,232	3,265	3,244
3,233	3,262	3,245
3,232	3,260	3,246
3,230	3,259	3,247
3,232	3,265	3,245
3,231	3,264	3,242
3,224	3,265	3,248
3,230	3,262	3,248
3,230	3,266	3,251
3,226	3,259	3,247
3,229	3,262	3,245
3,232	3,267	3,242
3,232	3,262	3,245
3,232	3,260	3,241
3,231	3,259	3,248
3,229	3,260	3,248
3,229	3,265	3,245
3,230	3,266	3,245
3,231	3,260	3,243
3,228	3,260	3,247
3,229	3,265	3,248
3,232	3,261	3,245
3,230	3,265	3,248
3,232	3,260	3,244
3,237	3,262	3,255
3,232	3,259	3,244
3,235	3,259	3,248
3,232	3,262	3,247
3,226	3,259	3,248
3,229	3,264	3,246
3,232	3,265	3,246
3,234	3,260	3,247
3,224	3,266	3,247
3,230	3,265	3,248
3,231	3,267	3,245
3,233	3,262	3,242
3,231	3,267	3,248
3,226	3,266	3,249
3,232	3,265	3,248
3,232	3,272	3,248
3,232	3,264	3,242
3,224	3,261	3,245
3,232	3,267	3,249
3,229	3,266	3,248
3,233	3,266	3,245
3,231	3,267	3,247
3,230	3,262	3,248
3,232	3,264	3,249
